No,ORDENAMIENTO,MATERIA REFORMA,PUBLICACIÓN DOF,PLAZO PARA ARMONIZAR,FECHA LÍMITE,VENCIMIENTO,HECHO,ENLACE DECRETO, INICIATIVA LOCAL
1,Constitución Política de los Estados Unidos Mexicanos,Igualdad Sustantiva,15/11/2024,180 días,14/05/2025,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/dof/CPEUM_ref_264_15nov24.pdf
2,Constitución Política de los Estados Unidos Mexicanos,Bienestar,02/12/2024,180 días,02/06/2025,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/dof/CPEUM_ref_265_02dic24.pdf
3,Constitución Política de los Estados Unidos Mexicanos,Nepotismo,01/04/2025,180 días,02/10/2025,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/dof/CPEUM_ref_274_01abr25.pdf
4,Constitución Política de los Estados Unidos Mexicanos,Soberanía Nacional,01/04/2025,180 días,02/10/2025,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/dof/CPEUM_ref_273_01abr25.pdf
5,Constitución Política de los Estados Unidos Mexicanos,Prisión preventiva,31/12/2024,365 días,01/01/2026,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/dof/CPEUM_ref_269_31dic24.pdf
6,Constitución Política de los Estados Unidos Mexicanos,Protección a la salud,17/01/2025,365 días,18/01/2026,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/dof/CPEUM_ref_271_17ene25.pdf
7,Ley General de Aguas,Expedición de la ley,11/12/2025,180 días,11/06/2026,FALTAN 121 DÍAS,No,https://www.diputados.gob.mx/LeyesBiblio/pdf/LGAg.pdf
8,"Ley Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B) del Artículo 123 Constitucional",Independencia sindical,15/12/2025,45 días,29/01/2026,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/lftse/LFTSE_ref29_15dic25.pdf
9,Ley Federal para la Prevención e Identificación de Operaciones con Recursos de Procedencia Ilícita,Notariado,16/07/2025,180 días,17/01/2026,VENCIDO,No,https://www.diputados.gob.mx/LeyesBiblio/ref/lfpiorpi/LFPIORPI_ref03_16jul25.pdf
10,Ley Nacional para Eliminar Trámites Burocráticos,Expedición de la ley,16/07/2025,180 días,17/01/2026,VENCIDO,"Iniciativa presentada por la Dip. Ingrid Jeny Calderón Domínguez",https://www.diputados.gob.mx/LeyesBiblio/ref/lnetb/LNETB_orig_16jul25.pdf
11,"Ley General de Acceso de las Mujeres a una Vida Libre de Violencia; del Código Nacional de Procedimientos Civiles y Familiares; de la Ley Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B) del Artículo 123 Constitucional; de la Ley General de Desarrollo Social; de la Ley General de Salud; de la Ley General de Educación; de la Ley del Seguro Social; de la Ley de Migración; de la Ley General de los Derechos de Niñas, Niños y Adolescentes; de la Ley del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado; de la Ley de Planeación; de la Ley de Vivienda; de la Ley Federal del Trabajo; de la Ley Federal del Derecho de Autor; de la Ley Federal de Protección a la Propiedad Industrial y de la Ley General de Cultura y Derechos Culturales",Igualdad sustantiva,15/01/2026,180 días,15/07/2026,FALTAN 155 DÍAS,No,https://www.diputados.gob.mx/LeyesBiblio/ref/lgimh/LGISMH_ref18_15ene26.pdf
12,Ley General de Economía Circular,Expedición de la ley,19/01/2026,180 días,19/07/2026,FALTAN 159 DÍAS,No,https://www.diputados.gob.mx/LeyesBiblio/pdf/LGEC.pdf
13,Constitución Política de los Estados Unidos Mexicanos,Límite Pensiones,Pendiente,90 días,Pendiente,Pendiente,No,https://sil.gobernacion.gob.mx/Archivos/Documentos/2026/03/asun_5038436_20260318_1773854396.pdf





